iter	Passed	Remaining
0	4	420
1	8	393
2	11	381
3	14	351
4	18	357
5	22	350
6	26	348
7	29	343
8	33	340
9	37	333
10	39	320
11	42	308
12	44	296
13	46	283
14	48	272
15	49	261
16	51	251
17	53	242
18	54	232
19	55	223
20	57	215
21	58	208
22	60	202
23	61	194
24	62	188
25	63	181
26	64	175
27	66	170
28	67	164
29	68	159
30	69	154
31	70	149
32	71	145
33	72	140
34	73	136
35	74	132
36	75	128
37	76	124
38	77	121
39	78	117
40	79	114
41	79	109
42	80	106
43	81	103
44	82	100
45	83	97
46	84	95
47	85	92
48	86	89
49	87	87
50	87	84
51	88	81
52	89	79
53	90	77
54	90	74
55	91	72
56	92	69
57	93	67
58	94	65
59	95	63
60	95	61
61	96	59
62	97	57
63	98	55
64	99	53
65	99	51
66	100	49
67	101	47
68	102	45
69	103	44
70	103	42
71	104	40
72	105	38
73	106	37
74	106	35
75	107	34
76	108	32
77	109	30
78	109	29
79	110	27
80	111	26
81	112	24
82	112	23
83	113	21
84	114	20
85	115	18
86	115	17
87	116	15
88	117	14
89	118	13
90	119	11
91	119	10
92	120	9
93	121	7
94	122	6
95	123	5
96	124	3
97	125	2
98	126	1
99	127	0
