iter	Passed	Remaining
0	108	108629
1	114	57375
2	117	38914
3	126	31402
4	129	25820
5	131	21845
6	133	18922
7	135	16785
8	149	16431
9	151	15002
10	153	13813
11	159	13122
12	161	12244
13	163	11519
14	166	10936
15	167	10318
16	169	9812
17	172	9420
18	174	8993
19	175	8595
20	176	8242
21	178	7916
22	179	7621
23	180	7340
24	181	7084
25	183	6855
26	186	6717
27	188	6535
28	190	6367
29	192	6215
30	194	6075
31	198	5994
32	200	5861
33	202	5742
34	203	5618
35	205	5496
36	206	5378
37	208	5278
38	210	5176
39	213	5115
40	214	5028
41	216	4943
42	218	4852
43	219	4766
44	220	4683
45	221	4603
46	223	4526
47	226	4494
48	229	4447
49	230	4383
50	232	4318
51	233	4260
52	235	4210
53	237	4155
54	238	4098
55	241	4070
56	244	4040
57	246	3999
58	247	3948
59	249	3901
60	250	3855
61	251	3812
62	257	3828
63	259	3795
64	261	3754
65	262	3713
66	263	3675
67	265	3636
68	266	3597
69	267	3560
70	270	3535
71	272	3512
72	274	3489
73	276	3454
74	277	3418
75	278	3384
76	279	3351
77	280	3319
78	281	3287
79	283	3256
80	286	3250
81	287	3221
82	288	3186
83	289	3157
84	290	3129
85	291	3102
86	293	3074
87	294	3047
88	295	3021
89	296	2994
90	297	2970
91	299	2959
92	301	2936
93	302	2912
94	303	2888
95	304	2868
96	305	2846
97	306	2823
98	307	2802
99	308	2780
100	310	2759
101	311	2738
102	312	2718
103	315	2714
104	316	2697
105	317	2678
106	318	2661
107	320	2643
108	321	2624
109	322	2607
110	323	2589
111	324	2573
112	325	2556
113	326	2540
114	329	2534
115	330	2522
116	331	2504
117	332	2487
118	333	2471
119	334	2454
120	335	2438
121	336	2422
122	337	2406
123	338	2391
124	339	2376
125	340	2362
126	341	2346
127	343	2337
128	345	2330
129	346	2316
130	347	2302
131	348	2289
132	349	2275
133	350	2262
134	351	2249
135	352	2236
136	353	2223
137	354	2211
138	355	2199
139	356	2187
140	358	2182
141	359	2171
142	360	2159
143	361	2147
144	362	2136
145	363	2125
146	364	2113
147	365	2102
148	366	2090
149	367	2080
150	367	2068
151	368	2058
152	369	2047
153	370	2037
154	413	2253
155	415	2246
156	416	2237
157	418	2229
158	420	2223
159	423	2223
160	424	2212
161	426	2205
162	427	2197
163	429	2189
164	431	2181
165	432	2173
166	434	2165
167	437	2168
168	446	2193
169	447	2185
170	449	2177
171	459	2211
172	461	2203
173	462	2195
174	464	2187
175	465	2179
176	468	2178
177	470	2174
178	472	2167
179	474	2159
180	475	2152
181	477	2145
182	478	2137
183	480	2130
184	484	2132
185	485	2125
186	487	2118
187	488	2111
188	490	2104
189	491	2097
190	493	2090
191	495	2083
192	496	2076
193	497	2067
194	500	2066
195	505	2073
196	509	2077
197	512	2076
198	515	2074
199	519	2076
200	520	2069
201	522	2063
202	523	2056
203	525	2049
204	526	2043
205	528	2036
206	534	2048
207	536	2043
208	552	2090
209	565	2128
210	567	2122
211	569	2115
212	570	2108
213	571	2100
214	573	2093
215	576	2092
216	578	2087
217	580	2083
218	582	2078
219	584	2071
220	586	2067
221	588	2063
222	592	2064
223	601	2082
224	602	2075
225	603	2068
226	605	2060
227	606	2051
228	607	2044
229	608	2036
230	609	2028
231	611	2023
232	612	2017
233	614	2011
234	616	2006
235	617	2000
236	619	1993
237	620	1987
238	621	1979
239	622	1972
240	624	1965
241	626	1963
242	628	1958
243	630	1952
244	631	1944
245	632	1938
246	633	1930
247	634	1923
248	635	1916
249	636	1909
250	637	1902
251	638	1896
252	641	1894
253	643	1888
254	644	1883
255	646	1878
256	648	1873
257	649	1868
258	650	1862
259	652	1856
260	653	1849
261	659	1856
262	660	1850
263	661	1845
264	663	1839
265	664	1834
266	666	1829
267	667	1824
268	668	1817
269	671	1814
270	672	1809
271	674	1805
272	675	1799
273	676	1793
274	677	1787
275	678	1781
276	680	1775
277	681	1768
278	682	1762
279	683	1756
280	686	1755
281	687	1749
282	688	1744
283	689	1738
284	690	1732
285	691	1727
286	693	1722
287	694	1716
288	696	1713
289	698	1710
290	702	1711
291	704	1707
292	705	1702
293	707	1697
294	708	1692
295	709	1686
296	710	1680
297	711	1675
298	712	1669
299	713	1664
300	714	1660
301	717	1658
302	718	1652
303	719	1647
304	720	1642
305	721	1636
306	722	1631
307	723	1626
308	725	1621
309	726	1616
310	727	1611
311	728	1606
312	730	1603
313	732	1600
314	733	1595
315	734	1590
316	735	1585
317	736	1580
318	737	1575
319	738	1570
320	739	1564
321	740	1559
322	741	1554
323	742	1549
324	744	1545
325	746	1543
326	747	1539
327	748	1534
328	749	1529
329	750	1524
330	751	1519
331	752	1514
332	753	1509
333	754	1504
334	755	1500
335	756	1495
336	757	1490
337	759	1486
338	760	1483
339	762	1479
340	763	1474
341	764	1470
342	765	1465
343	766	1460
344	767	1456
345	768	1451
346	769	1448
347	770	1444
348	771	1439
349	772	1435
350	774	1431
351	775	1428
352	776	1424
353	777	1419
354	778	1415
355	779	1410
356	780	1406
357	781	1401
358	782	1397
359	783	1393
360	784	1389
361	785	1384
362	786	1380
363	787	1375
364	789	1373
365	790	1369
366	791	1365
367	792	1361
368	793	1357
369	794	1353
370	795	1349
371	796	1345
372	797	1341
373	798	1337
374	799	1333
375	800	1329
376	801	1324
377	803	1322
378	805	1319
379	806	1316
380	807	1312
381	808	1308
382	809	1304
383	810	1300
384	811	1296
385	812	1292
386	813	1288
387	814	1284
388	815	1280
389	816	1277
390	817	1273
391	819	1270
392	820	1267
393	821	1263
394	822	1259
395	823	1256
396	824	1252
397	825	1248
398	826	1244
399	827	1240
400	828	1237
401	829	1233
402	830	1229
403	831	1225
404	832	1222
405	834	1220
406	836	1218
407	837	1214
408	838	1211
409	839	1207
410	840	1203
411	841	1200
412	841	1196
413	842	1193
414	844	1189
415	845	1186
416	846	1183
417	849	1182
418	850	1179
419	851	1176
420	852	1172
421	854	1170
422	855	1167
423	857	1165
424	858	1162
425	859	1158
426	860	1155
427	862	1153
428	863	1149
429	865	1146
430	866	1143
431	867	1140
432	868	1137
433	869	1133
434	870	1130
435	871	1127
436	873	1124
437	874	1121
438	875	1118
439	876	1116
440	879	1114
441	881	1112
442	882	1109
443	883	1106
444	884	1103
445	885	1100
446	887	1097
447	888	1094
448	889	1091
449	890	1088
450	893	1087
451	894	1084
452	895	1081
453	897	1079
454	898	1076
455	899	1073
456	901	1070
457	902	1068
458	903	1065
459	904	1062
460	908	1062
461	909	1059
462	910	1056
463	911	1053
464	912	1050
465	914	1047
466	914	1044
467	915	1041
468	916	1038
469	918	1035
470	919	1032
471	922	1032
472	925	1030
473	926	1028
474	928	1025
475	929	1023
476	930	1020
477	931	1017
478	932	1014
479	934	1011
480	935	1009
481	938	1008
482	939	1005
483	940	1002
484	942	1000
485	943	997
486	944	995
487	945	992
488	947	990
489	948	987
490	949	984
491	951	982
492	952	979
493	953	976
494	954	974
495	955	971
496	956	968
497	957	965
498	958	962
499	959	959
500	960	956
501	961	954
502	962	951
503	963	948
504	965	946
505	967	944
506	969	942
507	970	939
508	972	937
509	973	935
510	974	932
511	975	930
512	976	927
513	978	924
514	979	922
515	982	921
516	983	918
517	984	916
518	985	913
519	987	911
520	988	909
521	989	906
522	991	904
523	992	901
524	995	900
525	997	898
526	998	896
527	999	893
528	1000	891
529	1002	888
530	1003	886
531	1004	883
532	1006	881
533	1007	879
534	1011	878
535	1013	877
536	1015	875
537	1016	872
538	1017	870
539	1018	867
540	1019	865
541	1021	863
542	1023	861
543	1027	860
544	1028	858
545	1030	856
546	1031	854
547	1032	851
548	1034	849
549	1035	847
550	1036	844
